record_id	record_type	current_status	next_target_layer	lock_status	urgency	download_status	download_target	download_source_url	assigned_reason
10.1016_j.xpro.2024.103090	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://doi.org/10.1016/j.xpro.2024.103090	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
nd_Protocol_for_generation_of_and_high-thro_2	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1158_1538-7445.am2023-199	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1007_978-1-0716-2213-1_10	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.7554_elife.18489.040	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://doi.org/10.7554/elife.18489.040	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.7150_jca.127511	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.jcancer.org/v17p0614.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1158_2159-8290.cd-14-0001	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://cancerdiscovery.aacrjournals.org/content/candisc/4/9/998.full.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3389_fmed.2025.1733668	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://public-pages-files-2025.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1733668/pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3389_fcell.2026.1757516	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://doi.org/10.3389/fcell.2026.1757516	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1002_mco2.70575	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mco2.70575	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1080_20013078.2018.1535750	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.tandfonline.com/doi/pdf/10.1080/20013078.2018.1535750?needAccess=true	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
