record_id	record_type	current_status	next_target_layer	lock_status	urgency	download_status	download_target	download_source_url	assigned_reason
10.1056_nejm199712043372301	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.nejm.org/doi/pdf/10.1056/NEJM199712043372301?articleTools=true	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.6004_jnccn.2018.0006	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://jnccn.org/downloadpdf/journals/jnccn/16/2/article-p170.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1093_humupd_7.2.161	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://academic.oup.com/humupd/article-pdf/7/2/161/1788153/070161.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1093_ajcp_94.4.435	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1016_j.theriogenology.2005.08.021	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1067_mob.2003.99	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1038_ncb3516	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	http://hdl.handle.net/20.500.11820/8202c060-a3a7-4837-b77d-cb0f94c70993	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1016_s0140-6736(00)03622-9	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1186_s13287-024-03821-1	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://stemcellres.biomedcentral.com/counter/pdf/10.1186/s13287-024-03821-1	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1002_smll.202201225	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_ijms24087605	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/1422-0067/24/8/7605/pdf?version=1681993317	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_ijms23116067	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/1422-0067/23/11/6067/pdf?version=1653890828	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1210_endocr_bqaa195	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://academic.oup.com/endo/article-pdf/161/12/bqaa195/41812431/bqaa195.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1146_annurev-animal-020518-115321	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
1981_Relaxin--a_review._15	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1186_s12958-025-01348-5	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://rbej.biomedcentral.com/counter/pdf/10.1186/s12958-025-01348-5	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_cells14110829	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/2073-4409/14/11/829/pdf?version=1748941762	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1186_s13287-025-04773-w	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://stemcellres.biomedcentral.com/counter/pdf/10.1186/s13287-025-04773-w	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_biomedicines13102435	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/2227-9059/13/10/2435/pdf?version=1759764827	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_biology14040319	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/2079-7737/14/4/319/pdf?version=1742563751	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3390_ani15182672	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.mdpi.com/2076-2615/15/18/2672/pdf?version=1757666588	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1093_humrep_deaf223	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://academic.oup.com/humrep/advance-article-pdf/doi/10.1093/humrep/deaf223/65357643/deaf223.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1016_j.xcrm.2025.102464	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://doi.org/10.1016/j.xcrm.2025.102464	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
1974_Progesterone-Progestin_receptors._24	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
